Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part number,Link
BOOT_BUTTON,63.33,107.15,180,BUTTON_CUSYOMV1,MYBUTTON,,https://industry.panasonic.com/global/en/products/control/switch/light-touch/number/evqpuj02k
C1,155.55,7.63,90,100nF,EAGLE-LTSPICE_C0402,,https://componentsearchengine.com/part-view/CC0402MRX5R5BB106/YAGEO
C10,53.05,106.43,270,100nF,EAGLE-LTSPICE_C0402,,
C10_SUPERCAP,86.66,56.04,270,CPH3225A,CAPCP3225X100N,,https://www.snapeda.com/parts/CPH3225A/Seiko+Instruments/view-part/?ref=eda
C1_BAT,122.94,51.65,90,4.7uF,EAGLE-LTSPICE_C0402,,
C1_BAT1,119.18,46.27,0,4.7uF,EAGLE-LTSPICE_C0402,,
C1_BAT2,122.92,39.67,90,4.7uF,EAGLE-LTSPICE_C0402,,
C2,157.93,7.63,90,100nF,EAGLE-LTSPICE_C0402,,
C2_BAT,106.15,50.35,180,4.7uF,EAGLE-LTSPICE_C0402,,
C3,118.11,38.3,90,100uF TANT,RCL_CT3528,,https://a360.co/4iZy6AA
C4,96.81,34.69,270,4.7uF/25V,EAGLE-LTSPICE_C0402,,
C4_USB,147.83,46.77,180,100nF,EAGLE-LTSPICE_C0402,,
C5,19.35,106.21,90,1uF,EAGLE-LTSPICE_C0402,,
C5_USB,142.54,53.47,90,4.7uF,EAGLE-LTSPICE_C0402,,
C6,67.48,106.62,270,100nF,EAGLE-LTSPICE_C0402,,
C7,67.4,20.93,0,10uF,EAGLE-LTSPICE_C0402,,
C8,82.69,57.63,90,100nF,EAGLE-LTSPICE_C0402,,
C9,5.07,98.43,90,100nF,EAGLE-LTSPICE_C0402,,
CHANGE_BUTTON,48.96,107.15,180,BUTTON_CUSYOMV1,MYBUTTON,,https://industry.panasonic.com/global/en/products/control/switch/light-touch/number/evqpuj02k
CHG_LED,110.94,50.25,90,,ADAFRUIT_CHIP-LED0603,,https://www.snapeda.com/parts/KP-1608SURCK/Kingbright/view-part/?ref=search&t=LED%200603
C_DELAY,52.57,101.39,90,100nF,EAGLE-LTSPICE_C0402,,
